FULL,ACKM,DIVERSITY,ECI,Country,NBNUMCLUSTERS,NBCLUSTER
1.28631944183475,0.701827639193232,21,0.139972345231466,United States,3,2
1.13998029529046,0.498475067419774,16,0.205397604048826,Canada,3,2
1.37851519898731,0.492911879735745,23,-0.0523945674176139,Japan,3,2
1.08901046546898,0.382023168429321,14,0.269079076351878,Australia,3,1
1.10361319574282,0.371521208568085,15,-0.232944234068228,South Korea,3,3
1.174392050456,0.365191075444911,17,-0.0574205493481851,Italy,3,2
1.0428167288082,0.354889120035614,13,0.217029944290514,United Kingdom,3,2
1.28947987237831,0.34495467069438,20,0.00804471914752992,Germany,3,2
1.13708361196345,0.343664219644051,15,-0.206463283910035,Saudi Arabia,3,3
1.03900034418243,0.336679395388729,13,-0.226766978704361,India,3,3
1.10587831444842,0.311492881825126,14,-0.19214876600085,Turkey,3,3
1.01407249290512,0.309150063185075,12,-0.244200313535806,China,3,3
1.0094860167906,0.291524400603512,12,-0.125403172509974,Morocco,3,3
0.926284896342821,0.28780722854839,10,0.273184172558492,Colombia,3,1
1.03658318838493,0.283147790968971,13,-0.186663928791954,Singapore,3,3
0.969703946392428,0.274036503667155,11,-0.212601754573215,Egypt,3,3
0.999117055771495,0.267615272674798,12,-0.197778728176875,Romania,3,3
0.926610113706649,0.239976940826107,10,0.116229140457724,Cameroon,3,1
1.05288956187044,0.236480138324778,13,-0.0337183782466088,Venezuela,3,3
0.919136142405999,0.232414666311788,10,0.157399961210463,Chile,3,1
0.783259300370302,0.22929368128101,7,0.209668844298218,Ghana,3,1
0.875483729042676,0.220779239739242,9,0.0921804577005706,South Africa,3,1
0.951313520004335,0.218206115074523,11,-0.12390517956098,Russian Federation,3,3
0.78246447909053,0.212636259449677,7,0.207659264250514,Ecuador,3,1
1.03382250486744,0.210807086148511,13,0.026098026754326,Spain,3,1
0.66283828027716,0.170133970010143,5,0.160945784752741,Sudan,3,1
0.783974690515396,0.168695531814704,7,0.200256133187701,Peru,3,1
0.597315160869841,0.166517732411032,4,0.237765708719226,Uganda,3,1
0.745740569399256,0.156082066021277,6,0.2511273081883,Albania,3,1
0.594466498689782,0.13910344816188,4,0.146918823104255,Nigeria,3,1
